Loading net-file from 'lust.net.xml' ... done (594ms).
Loading additional-files from 'vtypes.add.xml' ... done (1ms).
Loading additional-files from 'busstops.add.xml' ... done (6ms).
Loading additional-files from 'e1detectors.add.xml' ... done (23ms).
Loading additional-files from 'lust.poly.xml' ... done (241ms).
Loading additional-files from 'tll.static.xml' ... done (37ms).
Loading done.
Simulation started with time: 0.00
Warning: Vehicle '0BEtoLU.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=1194.00.
Warning: Vehicle '0BEtoLU.11' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=1507.00.
Warning: Vehicle '0BEtoLU.14' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=1791.00.
Warning: Vehicle 'randUni3136:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2356.00.
Warning: Vehicle '0BEtoLU.19.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2366.00.
Warning: Vehicle 'randUni16436:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2448.00.
Warning: Vehicle '0BEtoLU.20.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2471.00.
Warning: Vehicle '0DEtoFR.26.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2592.00.
Warning: Vehicle '0BEtoLU.22' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2681.00.
Warning: Vehicle '0BEtoLU.23' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2739.00.
Warning: Vehicle '0BEtoLU.23.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2766.00.
Warning: Vehicle '0BEtoLU.23.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2771.00.
Warning: Vehicle '0BEtoLU.23.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2772.00.
Warning: Vehicle '0BEtoLU.25.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2913.00.
Warning: Vehicle '0FRtoLU.46' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2983.00.
Warning: Vehicle '0BEtoLU.26.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=2999.00.
Warning: Vehicle 'randUni20242:1.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3021.00.
Warning: Vehicle '0BEtoLU.30.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3242.00.
Warning: Vehicle '0BEtoLU.30.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3256.00.
Warning: Vehicle 'randUni7088:1.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3312.00.
Warning: Vehicle 'randUni7088:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3321.00.
Warning: Vehicle 'randUni7088:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3332.00.
Warning: Vehicle 'randUni16922:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3434.00.
Warning: Vehicle '0FRtoDE.31.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3497.00.
Warning: Vehicle 'randUni5326:1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3659.00.
Warning: Vehicle 'randUni5326:1.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3700.00.
Warning: Vehicle 'randUni5326:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3705.00.
Warning: Vehicle 'randUni5326:1.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3720.00.
Warning: Vehicle 'randUni5326:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3746.00.
Warning: Vehicle '0BEtoLU.34.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3760.00.
Warning: Vehicle 'randUni5326:1.8' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3795.00.
Warning: Vehicle '1BEtoLU.0.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3804.00.
Warning: Vehicle '1BEtoLU.1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3917.00.
Warning: Vehicle 'randUni4375:1.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3930.00.
Warning: Vehicle '1BEtoLU.2.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3961.00.
Warning: Vehicle 'randUni4375:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3987.00.
Warning: Vehicle 'randUni4375:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3992.00.
Warning: Vehicle 'randUni4375:1.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=3995.00.
Warning: Vehicle '1BEtoLU.3.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4001.00.
Warning: Vehicle '1BEtoLU.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4064.00.
Warning: Vehicle '1BEtoLU.5.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4068.00.
Warning: Vehicle 'randUni4375:1.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4072.00.
Warning: Vehicle 'randUni12184:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4190.00.
Warning: Vehicle 'randUni20768:1.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4218.00.
Warning: Vehicle '1BEtoLU.9.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4240.00.
Warning: Vehicle 'randUni12184:1.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4241.00.
Warning: Vehicle 'randUni12184:1.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4255.00.
Warning: Vehicle '1BEtoLU.10' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4262.00.
Warning: Vehicle '1DEtoFR.8.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4290.00.
Warning: Vehicle 'randUni8011:1.7' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4339.00.
Warning: Vehicle '1DEtoFR.9.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4345.00.
Warning: Vehicle 'randUni8011:1.3' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4347.00.
Warning: Vehicle 'randUni8011:1.4' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4356.00.
Warning: Vehicle 'randUni20768:1.5' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4356.00.
Warning: Vehicle 'randUni8011:1.9' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4366.00.
Warning: Vehicle 'randUni8011:1.6' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4383.00.
Warning: Vehicle '1LUtoFR.13.1' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4455.00.
Warning: Vehicle '1BEtoLU.17.2' performs emergency braking with decel=-9.00 wished=4.50 severity=1.00, time=4477.00.
